----------------(炬为负载测试仪)ATORCH LOAD_Tester Software----------------
------------------CL24/BW150/BW600/DL150-------------------
----------------(炬为负载测试仪)ATORCH LOAD_Tester Software----------------
(时间)DATE,(电压)VOLTAGE(V),(电流)CURRENT(A),(功率)POWER(W),(电阻)RESISTANCE(Ω),(电量)E_QUANTITY(Wh),(容量)E_CAPACITY(mAh),(探头温度)NTC_TEMP(℃),(CPU温度)CPU_TEMP(℃),(MOS管子温度)MOS_TEMP(℃),(风扇转速)FAN_SPEED(RPM),(探头温度)NTC_TEMP(℃)_CORRECTED
2026-06-08_00:29:04,25.087,0.0,0.0,9999.991,0.0,0.5,23.174,29.0,38.018,30,23.174
2026-06-08_00:29:05,25.084,0.0,0.0,9999.991,0.0,0.5,23.174,29.0,38.018,30,23.174
2026-06-08_00:29:06,24.334999,-14.057,342.108002,3.182,0.081,3.808,23.174,29.0,38.018,100,23.174
2026-06-08_00:29:07,23.973,-16.792,402.56601,1.48,0.189,8.322,23.174,29.0,37.907,100,23.174
2026-06-08_00:29:08,23.773001,-17.974001,427.320007,1.334,0.306,13.208,23.174,29.0,37.907,100,23.174
2026-06-08_00:29:09,23.636999,-18.683001,441.644012,1.299,0.427,18.34,23.174,29.0,37.907,100,23.174
2026-06-08_00:29:10,23.544001,-19.125,450.295013,1.239,0.552,23.624,23.174,28.0,38.129,100,23.174
2026-06-08_00:29:11,23.476,-19.351,454.30899,1.216,0.678,28.98,23.179,28.0,38.239,100,23.179
2026-06-08_00:29:12,23.426001,-19.51,457.062988,1.208,0.804,34.389,23.219,28.0,38.569,100,23.219
2026-06-08_00:29:13,23.391001,-19.605,458.596985,1.196,0.932,39.823,23.257,28.0,38.86,100,23.257
2026-06-08_00:29:14,23.358999,-19.68,459.816986,1.188,1.059,45.283,23.29,28.0,39.321,100,23.29
2026-06-08_00:29:15,23.33,-19.738001,460.613007,1.185,1.187,50.762,23.321,28.0,39.751,100,23.321
2026-06-08_00:29:16,23.309,-19.785,461.201996,1.179,1.315,56.255,23.352,28.0,40.216,100,23.352
2026-06-08_00:29:17,23.288,-19.83,461.837006,1.175,1.443,61.761,23.381,28.0,40.561,100,23.381
2026-06-08_00:29:18,23.274,-19.864,462.328003,1.172,1.572,67.276,23.438,28.0,41.096,100,23.438
2026-06-08_00:29:19,23.259001,-19.882999,462.489014,1.17,1.7,72.798,23.523,28.0,41.568,100,23.523
2026-06-08_00:29:20,23.243,-19.900999,462.583008,1.168,1.829,78.325,23.6,28.0,41.88,100,23.6
2026-06-08_00:29:21,23.232,-19.92,462.796997,1.166,1.957,83.858,23.666,28.0,42.484,100,23.666
2026-06-08_00:29:22,23.222,-19.93,462.881012,1.165,2.086,89.393,23.744,27.0,42.806,100,23.744
2026-06-08_00:29:23,23.209,-19.941,462.911011,1.164,2.214,94.932,23.84,27.0,43.285,100,23.84
2026-06-08_00:29:24,23.204,-19.940001,462.731995,1.164,2.343,100.471,23.948,27.0,43.64,100,23.948
2026-06-08_00:29:25,23.197001,-19.948999,462.834015,1.163,2.472,106.012,24.124,27.0,44.075,100,24.124
2026-06-08_00:29:26,23.193001,-19.957001,462.911011,1.162,2.6,111.555,24.248,27.0,44.444,100,24.248
2026-06-08_00:29:27,23.187,-19.962999,462.911011,1.161,2.729,117.1,24.343,27.0,44.932,100,24.343
2026-06-08_00:29:28,23.181,-19.966,462.858002,1.161,2.857,122.646,24.407,27.0,45.142,100,24.407
2026-06-08_00:29:29,23.174999,-19.965,462.708008,1.161,2.986,128.192,24.476,27.0,45.525,100,24.476
2026-06-08_00:29:30,23.171,-19.966999,462.682007,1.16,3.114,133.739,24.537,27.0,45.905,100,24.537
2026-06-08_00:29:31,23.166,-19.975,462.752991,1.16,3.243,139.287,24.604,27.0,46.256,100,24.604
2026-06-08_00:29:32,23.164,-19.974001,462.703003,1.16,3.371,144.836,24.665,27.0,46.523,100,24.665
2026-06-08_00:29:33,23.159,-19.981001,462.76001,1.159,3.5,150.385,24.72,27.0,47.052,100,24.72
2026-06-08_00:29:34,23.153,-19.976,462.519989,1.159,3.628,155.934,24.832,27.0,47.401,100,24.832
2026-06-08_00:29:35,23.152,-19.98,462.587006,1.159,3.757,161.484,24.977,27.0,47.661,100,24.977
2026-06-08_00:29:36,23.145,-19.978001,462.398987,1.158,3.885,167.033,25.08,27.0,48.049,100,25.08
2026-06-08_00:29:37,23.139999,-19.975,462.307007,1.159,4.014,172.582,25.157,27.0,48.561,100,25.157
2026-06-08_00:29:38,23.136999,-19.976,462.263,1.158,4.142,178.13,25.212,27.0,48.815,100,25.212
2026-06-08_00:29:39,23.131001,-19.976,462.057007,1.158,4.271,183.68,25.249,27.0,49.073,100,25.249
