----------------(炬为负载测试仪)ATORCH LOAD_Tester Software----------------
------------------CL24/BW150/BW600/DL150-------------------
----------------(炬为负载测试仪)ATORCH LOAD_Tester Software----------------
(时间)DATE,(电压)VOLTAGE(V),(电流)CURRENT(A),(功率)POWER(W),(电阻)RESISTANCE(Ω),(电量)E_QUANTITY(Wh),(容量)E_CAPACITY(mAh),(探头温度)NTC_TEMP(℃),(CPU温度)CPU_TEMP(℃),(MOS管子温度)MOS_TEMP(℃),(风扇转速)FAN_SPEED(RPM),(探头温度)NTC_TEMP(℃)_CORRECTED
2026-06-09_23:17:43,25.188,0.0,0.0,9999.991,0.0,0.5,18.907,32.0,18.801,30,18.907
2026-06-09_23:17:44,25.188,0.0,0.0,9999.991,0.0,0.5,18.907,32.0,18.801,30,18.907
2026-06-09_23:17:45,23.472,-26.469,626.859009,1.431,0.151,6.887,18.908,31.0,18.801,100,18.908
2026-06-09_23:17:46,22.363001,-40.43,912.61499,0.581,0.395,17.67,18.923,31.0,18.801,100,18.923
2026-06-09_23:17:47,21.724001,-45.782001,999.690979,0.508,0.67,30.27,18.972,31.0,18.897,100,18.972
2026-06-09_23:17:48,21.322001,-47.341999,1012.955017,0.458,0.95,43.383,19.084,31.0,18.961,100,19.084
2026-06-09_23:17:49,21.049999,-48.339001,1019.867004,0.438,1.233,56.775,19.241,31.0,19.345,100,19.241
2026-06-09_23:17:50,20.909,-48.925999,1024.01001,0.432,1.518,70.345,19.531,30.0,20.07,100,19.531
2026-06-09_23:17:51,20.877001,-49.243999,1028.034058,0.425,1.803,84.01,19.913,30.0,21.301,100,19.913
2026-06-09_23:17:52,20.907,-49.437,1033.171997,0.423,2.09,97.735,20.39,30.0,22.331,100,20.39
2026-06-09_23:17:53,20.954,-49.568001,1038.686035,0.423,2.378,111.494,20.937,30.0,23.524,100,20.937
2026-06-09_23:17:54,21.024,-49.651001,1043.901001,0.423,2.668,125.277,21.551,30.0,24.664,100,21.551
2026-06-09_23:17:55,21.091,-49.713001,1048.517944,0.424,2.959,139.083,22.226,30.0,25.776,100,22.226
2026-06-09_23:17:56,21.153,-49.765999,1052.734985,0.425,3.251,152.902,22.97,30.0,27.013,100,22.97
2026-06-09_23:17:57,21.205999,-49.800999,1056.089966,0.426,3.544,166.733,23.743,30.0,28.39,100,23.743
2026-06-09_23:17:58,21.252001,-49.827999,1058.400024,0.426,3.838,180.573,24.533,30.0,29.069,100,24.533
