----------------(炬为负载测试仪)ATORCH LOAD_Tester Software----------------
------------------CL24/BW150/BW600/DL150-------------------
----------------(炬为负载测试仪)ATORCH LOAD_Tester Software----------------
(时间)DATE,(电压)VOLTAGE(V),(电流)CURRENT(A),(功率)POWER(W),(电阻)RESISTANCE(Ω),(电量)E_QUANTITY(Wh),(容量)E_CAPACITY(mAh),(探头温度)NTC_TEMP(℃),(CPU温度)CPU_TEMP(℃),(MOS管子温度)MOS_TEMP(℃),(风扇转速)FAN_SPEED(RPM),(探头温度)NTC_TEMP(℃)_CORRECTED
2026-05-27_17:32:08,25.202,0.0,0.0,9999.991,0.0,0.5,21.082,31.0,20.558,30,21.082
2026-05-27_17:32:09,25.202999,-0.006,0.18,3521.545,0.0,0.5,21.083,31.0,20.623,30,21.083
2026-05-27_17:32:10,24.372,-15.148,369.218994,2.106,0.079,3.734,21.082,31.0,20.558,100,21.082
2026-05-27_17:32:11,24.129999,-17.011999,410.514008,1.458,0.189,8.263,21.084,32.0,20.558,100,21.084
2026-05-27_17:32:12,23.98,-18.118999,434.515015,1.338,0.307,13.172,21.082,32.0,20.558,100,21.082
2026-05-27_17:32:13,23.862,-18.663,445.613007,1.293,0.43,18.31,21.082,32.0,20.719,100,21.082
2026-05-27_17:32:14,23.77,-19.108,454.424988,1.248,0.556,23.593,21.088,32.0,20.91,100,21.088
2026-05-27_17:32:15,23.694,-19.339001,458.446991,1.226,0.683,28.949,21.096,32.0,21.203,100,21.096
2026-05-27_17:32:16,23.629,-19.503,461.041992,1.218,0.81,34.347,21.102,32.0,21.657,100,21.102
2026-05-27_17:32:17,23.573,-19.611,462.553986,1.205,0.939,39.78,21.105,32.0,22.138,100,21.105
2026-05-27_17:32:18,23.532,-19.688,463.324005,1.195,1.067,45.241,21.11,32.0,22.49,100,21.11
2026-05-27_17:32:19,23.489,-19.752001,463.959991,1.191,1.196,50.72,21.115,32.0,22.963,100,21.115
2026-05-27_17:32:20,23.452,-19.791,464.164001,1.186,1.325,56.213,21.125,32.0,23.622,100,21.125
2026-05-27_17:32:21,23.415001,-19.836,464.484009,1.181,1.454,61.718,21.141,31.0,24.177,100,21.141
2026-05-27_17:32:22,23.382,-19.862,464.445007,1.179,1.583,67.232,21.157,31.0,24.761,100,21.157
2026-05-27_17:32:23,23.351,-19.884001,464.473999,1.175,1.712,72.754,21.184,31.0,25.217,100,21.184
2026-05-27_17:32:24,23.327,-19.900999,464.337006,1.172,1.841,78.28,21.215,31.0,25.776,100,21.215
2026-05-27_17:32:25,23.302,-19.917999,464.235992,1.171,1.97,83.813,21.235,31.0,26.365,100,21.235
2026-05-27_17:32:26,23.285,-19.922001,463.929993,1.169,2.099,89.348,21.262,31.0,26.82,100,21.262
2026-05-27_17:32:27,23.266001,-19.940001,463.944,1.167,2.228,94.885,21.29,31.0,27.416,100,21.29
2026-05-27_17:32:28,23.247999,-19.952,463.860992,1.166,2.357,100.427,21.325,31.0,27.977,100,21.325
2026-05-27_17:32:29,23.235001,-19.957001,463.730011,1.165,2.485,105.969,21.362,31.0,28.39,100,21.362
2026-05-27_17:32:30,23.219,-19.964001,463.557007,1.163,2.614,111.514,21.407,32.0,28.966,100,21.407
2026-05-27_17:32:31,23.204,-19.968,463.35199,1.162,2.743,117.062,21.445,32.0,29.446,100,21.445
2026-05-27_17:32:32,23.188999,-19.969,463.088013,1.162,2.872,122.608,21.485,32.0,30.159,100,21.485
2026-05-27_17:32:33,23.177999,-19.969,462.93399,1.161,3.0,128.155,21.524,32.0,30.637,100,21.524
2026-05-27_17:32:34,23.166,-19.972,462.757996,1.16,3.129,133.703,21.565,32.0,31.042,100,21.565
2026-05-27_17:32:35,23.158001,-19.972,462.544006,1.16,3.257,139.25,21.606,31.0,31.42,100,21.606
2026-05-27_17:32:36,23.149,-19.973,462.402008,1.159,3.386,144.799,21.647,31.0,31.928,100,21.647
2026-05-27_17:32:37,23.141001,-19.973,462.246002,1.159,3.514,150.348,21.689,31.0,32.409,100,21.689
2026-05-27_17:32:38,23.136,-19.976,462.182007,1.158,3.643,155.897,21.725,31.0,32.818,100,21.725
2026-05-27_17:32:39,23.129999,-19.975,462.040985,1.158,3.771,161.446,21.768,31.0,33.31,100,21.768
2026-05-27_17:32:40,23.122999,-19.971001,461.800995,1.158,3.899,166.996,21.809,31.0,33.738,100,21.809
2026-05-27_17:32:41,23.115999,-19.975,461.782013,1.157,4.028,172.545,21.849,31.0,34.13,100,21.849
2026-05-27_17:32:42,23.108999,-19.978001,461.678986,1.157,4.156,178.095,21.889,31.0,34.564,100,21.889
2026-05-27_17:32:43,23.101,-19.979,461.602997,1.156,4.284,183.645,21.93,31.0,34.85,100,21.93
2026-05-27_17:32:44,23.097,-19.979,461.494995,1.156,4.412,189.195,21.969,31.0,35.381,100,21.969
2026-05-27_17:32:45,23.091,-19.982,461.44101,1.156,4.54,194.745,22.013,32.0,35.591,100,22.013
2026-05-27_17:32:46,23.087,-19.985001,461.441986,1.155,4.669,200.297,22.064,32.0,36.082,100,22.064
2026-05-27_17:32:47,23.082001,-19.98,461.210999,1.155,4.797,205.847,22.105,32.0,36.527,100,22.105
2026-05-27_17:32:48,23.08,-19.988001,461.338013,1.155,4.925,211.399,22.149,32.0,36.821,100,22.149
2026-05-27_17:32:49,23.077,-19.981001,461.140015,1.155,5.053,216.951,22.194,32.0,37.156,100,22.194
2026-05-27_17:32:50,23.072001,-19.98,460.985992,1.155,5.181,222.502,22.239,32.0,37.608,100,22.239
2026-05-27_17:32:51,23.068001,-19.982,460.973999,1.154,5.309,228.054,22.293,32.0,37.907,100,22.293
2026-05-27_17:32:52,23.062,-19.988001,461.035004,1.154,5.437,233.605,22.357,32.0,38.386,100,22.357
2026-05-27_17:32:53,23.059,-19.983,460.817993,1.154,5.565,239.157,22.412,32.0,38.715,100,22.412
2026-05-27_17:32:54,23.059,-19.982,460.779999,1.154,5.693,244.708,22.465,32.0,39.045,100,22.465
2026-05-27_17:32:55,23.056,-19.988001,460.860992,1.154,5.821,250.261,22.513,32.0,39.36,100,22.513
2026-05-27_17:32:56,23.052,-19.983999,460.707001,1.154,5.949,255.812,22.561,32.0,39.595,100,22.561
2026-05-27_17:32:57,23.047001,-19.987,460.656006,1.153,6.077,261.364,22.617,32.0,39.946,100,22.617
2026-05-27_17:32:58,23.045,-19.99,460.70401,1.153,6.205,266.917,22.672,32.0,40.254,100,22.672
2026-05-27_17:32:59,23.044001,-19.983999,460.539001,1.153,6.205,266.917,22.726,32.0,40.637,100,22.726
2026-05-27_17:33:00,23.040001,-19.988001,460.550995,1.153,6.461,278.022,22.781,32.0,40.675,100,22.781
2026-05-27_17:33:01,23.035,-19.986,460.45401,1.152,6.589,283.575,22.83,32.0,40.864,100,22.83
2026-05-27_17:33:02,23.035,-19.989,460.462006,1.152,6.717,289.129,22.881,32.0,41.214,100,22.881
