----------------(炬为负载测试仪)ATORCH LOAD_Tester Software----------------
------------------CL24/BW150/BW600/DL150-------------------
----------------(炬为负载测试仪)ATORCH LOAD_Tester Software----------------
(时间)DATE,(电压)VOLTAGE(V),(电流)CURRENT(A),(功率)POWER(W),(电阻)RESISTANCE(Ω),(电量)E_QUANTITY(Wh),(容量)E_CAPACITY(mAh),(探头温度)NTC_TEMP(℃),(CPU温度)CPU_TEMP(℃),(MOS管子温度)MOS_TEMP(℃),(风扇转速)FAN_SPEED(RPM),(探头温度)NTC_TEMP(℃)_CORRECTED
2026-06-09_23:28:17,25.118,-0.543,13.659,46.191,0.0,0.5,17.87,31.0,27.013,30,17.87
2026-06-09_23:28:18,23.722,-27.875,661.276001,1.167,0.158,7.071,17.87,31.0,27.013,100,17.87
2026-06-09_23:28:19,23.129,-34.956001,808.505981,0.7,0.372,16.273,17.87,31.0,26.916,100,17.87
2026-06-09_23:28:20,22.855,-36.632999,838.468994,0.624,0.603,26.344,17.882,31.0,27.013,100,17.882
2026-06-09_23:28:21,22.663,-37.765999,856.786987,0.607,0.84,36.803,17.918,31.0,27.215,100,17.918
2026-06-09_23:28:22,22.524,-38.610001,870.330994,0.586,1.082,47.498,17.964,31.0,27.516,100,17.964
2026-06-09_23:28:23,22.416,-39.075001,876.494995,0.574,1.325,58.324,18.035,31.0,28.08,100,18.035
2026-06-09_23:28:24,22.337999,-39.311001,878.513,0.571,1.569,69.231,18.117,31.0,28.764,100,18.117
2026-06-09_23:28:25,22.284,-39.494999,880.125977,0.565,1.813,80.19,18.213,31.0,29.752,100,18.213
2026-06-09_23:28:26,22.237,-39.601002,880.632019,0.562,2.057,91.181,18.321,31.0,30.637,100,18.321
2026-06-09_23:28:27,22.195,-39.674,880.59198,0.56,2.302,102.197,18.448,30.0,31.523,100,18.448
2026-06-09_23:28:28,22.162001,-39.735001,880.640991,0.558,2.547,113.229,18.579,30.0,32.512,100,18.579
2026-06-09_23:28:29,22.136,-39.784,880.794006,0.556,2.791,124.277,18.73,30.0,33.524,100,18.73
2026-06-09_23:28:30,22.108999,-39.826,880.666016,0.556,3.036,135.339,18.864,30.0,34.456,100,18.864
2026-06-09_23:28:31,22.089001,-39.849998,880.460999,0.554,3.28,146.407,19.031,30.0,35.486,100,19.031
2026-06-09_23:28:32,22.073,-39.869999,880.117981,0.554,3.525,157.482,19.226,31.0,36.416,100,19.226
2026-06-09_23:28:33,22.062,-39.893002,880.205994,0.553,3.77,168.562,19.378,31.0,37.383,100,19.378
2026-06-09_23:28:34,22.054001,-39.905998,880.112976,0.553,4.014,179.647,19.563,31.0,38.35,100,19.563
2026-06-09_23:28:35,22.041,-39.921001,879.934021,0.552,4.258,190.735,19.753,31.0,39.321,100,19.753
2026-06-09_23:28:36,22.035999,-39.922001,879.757996,0.552,4.503,201.825,19.945,31.0,40.331,100,19.945
2026-06-09_23:28:37,22.031,-39.921001,879.528992,0.552,4.747,212.915,20.142,32.0,41.214,100,20.142
2026-06-09_23:28:38,22.027,-39.938,879.731995,0.552,4.992,224.008,20.342,32.0,42.119,100,20.342
2026-06-09_23:28:39,22.025999,-39.943001,879.677002,0.551,5.236,235.104,20.532,32.0,43.046,100,20.532
2026-06-09_23:28:40,22.023001,-39.945999,879.770996,0.551,5.48,246.202,20.739,32.0,43.758,100,20.739
2026-06-09_23:28:41,22.018999,-39.945999,879.609985,0.551,5.725,257.298,20.916,32.0,44.689,100,20.916
2026-06-09_23:28:42,22.018999,-39.945999,879.544006,0.551,5.969,268.398,21.126,32.0,45.525,100,21.126
2026-06-09_23:28:43,22.017,-39.955002,879.700989,0.551,6.213,279.496,21.336,32.0,46.39,100,21.336
2026-06-09_23:28:44,22.016001,-39.957001,879.723022,0.551,6.458,290.595,21.541,32.0,47.183,100,21.541
2026-06-09_23:28:45,22.014999,-39.960999,879.768005,0.551,6.702,301.696,21.751,32.0,48.049,100,21.751
2026-06-09_23:28:46,22.02,-39.964001,880.007019,0.551,6.947,312.797,21.951,32.0,48.773,100,21.951
2026-06-09_23:28:47,22.021,-39.964001,880.078979,0.551,7.191,323.899,22.156,32.0,49.521,100,22.156
2026-06-09_23:28:48,22.017,-39.959999,879.85498,0.551,7.435,334.998,22.364,32.0,50.484,100,22.364
2026-06-09_23:28:49,22.018999,-39.959999,879.960022,0.551,7.68,346.1,22.559,32.0,51.187,100,22.559
2026-06-09_23:28:50,22.018999,-39.972,880.158997,0.551,7.924,357.204,22.769,32.0,51.972,100,22.769
2026-06-09_23:28:51,22.018999,-39.965,880.004028,0.551,8.169,368.308,22.975,32.0,52.662,100,22.975
2026-06-09_23:28:52,22.021,-39.967999,880.143005,0.551,8.413,379.412,23.143,32.0,53.394,100,23.143
2026-06-09_23:28:53,22.023001,-39.973,880.35498,0.551,8.658,390.515,23.317,32.0,54.068,100,23.317
2026-06-09_23:28:54,22.024,-39.977001,880.466003,0.551,8.902,401.62,23.474,32.0,54.641,100,23.474
2026-06-09_23:28:55,22.025,-39.972,880.377991,0.551,9.147,412.725,23.651,32.0,55.328,100,23.651
2026-06-09_23:28:56,22.023001,-39.976002,880.409973,0.551,9.392,423.829,23.846,32.0,55.787,100,23.846
2026-06-09_23:28:57,22.025,-39.979,880.580994,0.551,9.636,434.935,24.051,32.0,56.543,100,24.051
2026-06-09_23:28:58,22.021999,-39.980999,880.499023,0.551,9.881,446.041,24.257,32.0,57.034,100,24.257
2026-06-09_23:28:59,22.025999,-39.979,880.596008,0.551,10.125,457.145,24.463,32.0,57.727,100,24.463
2026-06-09_23:29:00,22.021999,-39.976002,880.393982,0.551,10.37,468.25,24.668,32.0,58.186,100,24.668
2026-06-09_23:29:01,22.025,-39.976002,880.432007,0.551,10.615,479.356,24.851,32.0,58.774,100,24.851
2026-06-09_23:29:02,22.021999,-39.978001,880.432983,0.551,10.859,490.462,25.037,32.0,59.456,100,25.037
2026-06-09_23:29:03,22.024,-39.973,880.369019,0.551,11.104,501.566,25.238,32.0,59.982,100,25.238
2026-06-09_23:29:04,22.023001,-39.970001,880.286987,0.551,11.348,512.671,25.452,32.0,60.446,100,25.452
2026-06-09_23:29:05,22.023001,-39.976002,880.432983,0.551,11.593,523.774,25.671,32.0,61.137,100,25.671
2026-06-09_23:29:06,22.023001,-39.978001,880.445984,0.551,11.837,534.877,25.896,32.0,61.651,100,25.896
2026-06-09_23:29:07,22.021,-39.983002,880.505005,0.551,12.082,545.982,26.099,32.0,62.104,100,26.099
2026-06-09_23:29:08,22.018999,-39.980999,880.392029,0.551,12.326,557.088,26.302,32.0,62.611,100,26.302
2026-06-09_23:29:09,22.018,-39.981998,880.348999,0.551,12.571,568.195,26.509,32.0,63.128,100,26.509
2026-06-09_23:29:10,22.014999,-39.990002,880.502991,0.55,12.816,579.305,26.719,32.0,63.628,100,26.719
2026-06-09_23:29:11,22.014,-39.981998,880.164001,0.551,13.06,590.414,26.897,32.0,64.186,100,26.897
2026-06-09_23:29:12,22.011999,-39.987999,880.247986,0.55,13.305,601.521,27.115,31.0,64.741,100,27.115
2026-06-09_23:29:13,22.014999,-39.987,880.322998,0.551,13.549,612.628,27.313,31.0,65.048,100,27.313
2026-06-09_23:29:14,22.013,-39.986,880.245972,0.551,13.794,623.736,27.508,31.0,65.596,100,27.508
2026-06-09_23:29:15,22.013,-39.990002,880.328979,0.55,14.038,634.846,27.691,31.0,65.96,100,27.691
2026-06-09_23:29:16,22.013,-39.986,880.236023,0.55,14.283,645.955,27.881,31.0,66.368,100,27.881
2026-06-09_23:29:17,22.011,-39.986,880.171997,0.55,14.527,657.063,28.078,31.0,66.916,100,28.078
2026-06-09_23:29:18,22.007999,-39.987,880.072021,0.55,14.772,668.172,28.264,31.0,67.325,100,28.264
2026-06-09_23:29:19,22.004999,-39.987,880.004028,0.55,15.016,679.28,28.457,31.0,67.733,100,28.457
2026-06-09_23:29:20,22.004,-39.990002,879.979004,0.55,15.261,690.388,28.653,31.0,68.273,100,28.653
2026-06-09_23:29:21,22.003,-39.980999,879.677002,0.55,15.505,701.493,28.817,31.0,68.676,100,28.817
2026-06-09_23:29:22,21.996,-39.983002,879.541992,0.55,15.749,712.6,29.006,31.0,68.876,100,29.006
2026-06-09_23:29:23,21.997,-39.987,879.617004,0.55,15.994,723.706,29.182,31.0,69.277,100,29.182
2026-06-09_23:29:24,21.993,-39.978001,879.234009,0.55,16.238,734.812,29.336,31.0,69.675,100,29.336
2026-06-09_23:29:25,21.99,-39.974998,879.088013,0.55,16.482,745.916,29.506,31.0,69.873,100,29.506
2026-06-09_23:29:26,21.987,-39.974998,878.953003,0.55,16.726,757.021,29.671,31.0,70.467,100,29.671
2026-06-09_23:29:27,21.985001,-39.981998,879.017029,0.55,16.97,768.127,29.869,32.0,70.697,100,29.869
2026-06-09_23:29:28,21.981001,-39.979,878.794983,0.55,17.215,779.233,30.056,32.0,71.155,100,30.056
2026-06-09_23:29:29,21.981001,-39.986,878.955017,0.55,17.459,790.339,30.224,32.0,71.383,100,30.224
2026-06-09_23:29:30,21.974001,-39.983002,878.666016,0.55,17.703,801.447,30.396,27.0,71.838,100,30.396
2026-06-09_23:29:31,21.974001,-39.993,878.78302,0.55,17.947,812.553,30.599,27.0,72.215,100,30.599
2026-06-09_23:29:32,21.966,-39.995998,878.588989,0.549,18.191,823.662,30.758,27.0,72.441,100,30.758
2026-06-09_23:29:33,21.962999,-39.990002,878.325012,0.549,18.435,834.773,30.967,27.0,72.891,100,30.967
2026-06-09_23:29:34,21.958,-39.985001,878.008972,0.549,18.679,845.88,31.186,27.0,73.115,100,31.186
2026-06-09_23:29:35,21.955999,-39.983002,877.893005,0.549,18.923,856.987,31.389,27.0,73.488,100,31.389
2026-06-09_23:29:36,21.951,-39.983002,877.68103,0.549,19.167,868.096,31.57,28.0,73.933,100,31.57
2026-06-09_23:29:37,21.947001,-39.978001,877.437988,0.549,19.41,879.202,31.748,28.0,74.081,100,31.748
2026-06-09_23:29:38,21.941999,-39.976002,877.14801,0.549,19.654,890.309,31.924,28.0,74.302,100,31.924
2026-06-09_23:29:39,21.937,-39.976002,876.953003,0.549,19.898,901.416,32.104,28.0,74.744,100,32.104
2026-06-09_23:29:40,21.934,-39.987,877.151001,0.549,20.142,912.523,32.236,28.0,74.964,100,32.236
2026-06-09_23:29:41,21.927999,-39.983002,876.79303,0.548,20.385,923.629,32.391,28.0,75.221,100,32.391
2026-06-09_23:29:42,21.924999,-39.981998,876.611023,0.548,20.629,934.736,32.542,28.0,75.484,100,32.542
2026-06-09_23:29:43,21.92,-39.988998,876.56897,0.548,20.872,945.842,32.678,28.0,75.571,100,32.678
2026-06-09_23:29:44,21.916,-39.983002,876.286987,0.548,21.116,956.949,32.808,28.0,76.297,100,32.808
2026-06-09_23:29:45,21.910999,-39.981998,876.091003,0.548,21.359,968.054,32.94,29.0,76.514,100,32.94
2026-06-09_23:29:46,21.902,-39.980999,875.700012,0.548,21.602,979.162,33.081,29.0,76.73,100,33.081
2026-06-09_23:29:47,21.896,-39.987999,875.598999,0.548,21.845,990.268,33.235,29.0,76.946,100,33.235
2026-06-09_23:29:48,21.893,-39.988998,875.487,0.547,22.089,1001.378,33.415,29.0,77.194,100,33.415
2026-06-09_23:29:49,21.886,-39.985001,875.140015,0.547,22.332,1012.484,33.578,29.0,77.453,100,33.578
2026-06-09_23:29:50,21.882,-39.978001,874.786011,0.547,22.575,1023.592,33.696,29.0,77.624,100,33.696
2026-06-09_23:29:51,21.875999,-39.981998,874.705994,0.547,22.818,1034.697,33.859,30.0,77.882,100,33.859
2026-06-09_23:29:52,21.872,-39.984001,874.609009,0.547,23.061,1045.805,34.041,30.0,77.882,100,34.041
2026-06-09_23:29:53,21.864,-39.986,874.283997,0.547,23.304,1056.912,34.218,30.0,77.882,100,34.218
2026-06-09_23:29:54,21.858,-39.979,873.870972,0.547,23.547,1068.019,34.353,30.0,78.138,100,34.353
2026-06-09_23:29:55,21.849001,-39.977001,873.46698,0.547,23.789,1079.124,34.462,30.0,78.309,100,34.462
2026-06-09_23:29:56,21.841999,-39.979,873.221985,0.546,24.032,1090.227,34.586,31.0,78.565,100,34.586
2026-06-09_23:29:57,21.836,-39.999001,873.440002,0.546,24.274,1101.337,34.715,31.0,78.82,100,34.715
2026-06-09_23:29:58,21.83,-39.997002,873.179016,0.546,24.517,1112.446,34.853,31.0,79.093,100,34.853
2026-06-09_23:29:59,21.826,-39.999001,873.039978,0.546,24.759,1123.555,35.036,31.0,79.093,100,35.036
2026-06-09_23:30:00,21.818001,-39.990002,872.570007,0.546,25.002,1134.666,35.185,31.0,79.411,100,35.185
2026-06-09_23:30:01,21.809999,-39.987999,872.197998,0.545,25.244,1145.774,35.296,31.0,79.728,100,35.296
2026-06-09_23:30:02,21.802999,-39.992001,872.0,0.545,25.486,1156.884,35.432,31.0,80.035,100,35.432
2026-06-09_23:30:03,21.796,-39.994999,871.809021,0.545,25.729,1167.994,35.599,31.0,80.288,100,35.599
2026-06-09_23:30:04,21.790001,-39.977001,871.182983,0.545,25.971,1179.103,35.725,31.0,80.288,100,35.725
2026-06-09_23:30:05,21.785999,-39.984001,871.091003,0.545,26.213,1190.209,35.852,31.0,80.54,100,35.852
2026-06-09_23:30:06,21.774,-39.990002,870.775024,0.545,26.455,1201.318,35.977,31.0,80.623,100,35.977
2026-06-09_23:30:07,21.77,-39.987,870.564026,0.544,26.697,1212.426,36.11,31.0,80.875,100,36.11
2026-06-09_23:30:08,21.761,-39.988998,870.226013,0.544,26.938,1223.533,36.242,31.0,81.157,100,36.242
2026-06-09_23:30:09,21.753,-39.980999,869.729004,0.544,27.18,1234.642,36.357,32.0,80.958,100,36.357
2026-06-09_23:30:10,21.747,-39.988998,869.632996,0.544,27.422,1245.751,36.426,32.0,81.261,100,36.426
2026-06-09_23:30:11,21.736,-39.995998,869.390991,0.544,27.663,1256.862,36.49,32.0,81.573,100,36.49
2026-06-09_23:30:12,21.732,-39.999001,869.27002,0.543,27.905,1267.974,36.58,32.0,82.074,100,36.58
2026-06-09_23:30:13,21.723,-39.991001,868.687988,0.543,28.146,1279.083,36.746,32.0,82.074,100,36.746
2026-06-09_23:30:14,21.711,-39.990002,868.33197,0.543,28.387,1290.193,36.964,32.0,82.074,100,36.964
2026-06-09_23:30:15,21.702,-39.993,868.039001,0.543,28.629,1301.3,37.178,33.0,82.322,100,37.178
2026-06-09_23:30:16,21.695,-39.983002,867.508972,0.543,28.87,1312.409,37.389,33.0,82.322,100,37.389
2026-06-09_23:30:17,21.688,-39.976002,867.20697,0.543,29.111,1323.514,37.551,33.0,82.488,100,37.551
2026-06-09_23:30:18,21.679001,-39.98,866.73999,0.542,29.351,1334.618,37.713,33.0,82.488,100,37.713
2026-06-09_23:30:19,21.67,-39.983002,866.473999,0.542,29.592,1345.725,37.805,33.0,82.653,100,37.805
2026-06-09_23:30:20,21.663,-39.985001,866.20697,0.542,29.833,1356.831,37.869,33.0,82.9,100,37.869
2026-06-09_23:30:21,21.653999,-39.987,865.901001,0.541,30.073,1367.939,37.945,33.0,82.9,100,37.945
