----------------(炬为负载测试仪)ATORCH LOAD_Tester Software----------------
------------------CL24/BW150/BW600/DL150-------------------
----------------(炬为负载测试仪)ATORCH LOAD_Tester Software----------------
(时间)DATE,(电压)VOLTAGE(V),(电流)CURRENT(A),(功率)POWER(W),(电阻)RESISTANCE(Ω),(电量)E_QUANTITY(Wh),(容量)E_CAPACITY(mAh),(探头温度)NTC_TEMP(℃),(CPU温度)CPU_TEMP(℃),(MOS管子温度)MOS_TEMP(℃),(风扇转速)FAN_SPEED(RPM),(探头温度)NTC_TEMP(℃)_CORRECTED
2026-06-09_21:44:11,24.121,-12.862,316.687012,1.914,0.0,0.5,19.622,32.0,25.514,30,19.622
2026-06-09_21:44:12,22.91,-29.669001,682.874023,0.958,0.159,7.264,19.622,32.0,25.514,100,19.622
2026-06-09_21:44:13,22.448999,-35.675999,800.935974,0.658,0.37,16.541,19.63,32.0,25.514,100,19.63
2026-06-09_21:44:14,22.115999,-37.382999,828.570984,0.596,0.596,26.681,19.656,32.0,25.613,100,19.656
2026-06-09_21:44:15,21.979,-38.318001,842.21698,0.581,0.827,37.171,19.695,32.0,25.711,100,19.695
2026-06-09_21:44:16,21.841999,-38.918999,850.085999,0.564,1.062,47.887,19.759,32.0,26.168,100,19.759
2026-06-09_21:44:17,21.745001,-39.245998,853.403015,0.555,1.298,58.744,19.843,31.0,26.658,100,19.843
2026-06-09_21:44:18,21.671,-39.436001,854.656006,0.551,1.535,69.663,19.945,31.0,27.316,100,19.945
2026-06-09_21:44:19,21.612,-39.564999,855.086975,0.547,1.773,80.631,20.063,31.0,28.56,100,20.063
2026-06-09_21:44:20,21.563999,-39.631001,854.97699,0.544,2.01,91.63,20.204,31.0,29.069,100,20.204
2026-06-09_21:44:21,21.528999,-39.699001,854.914001,0.543,2.248,102.65,20.352,31.0,30.159,100,20.352
2026-06-09_21:44:22,21.499001,-39.764999,855.145996,0.541,2.485,113.686,20.516,32.0,30.94,100,20.516
2026-06-09_21:44:23,21.474001,-39.807999,855.059021,0.54,2.723,124.737,20.687,32.0,32.03,100,20.687
2026-06-09_21:44:24,21.454,-39.837002,854.841003,0.539,2.96,135.799,20.831,32.0,32.919,100,20.831
2026-06-09_21:44:25,21.437,-39.849998,854.35199,0.538,3.198,146.867,21.013,32.0,33.914,100,21.013
2026-06-09_21:44:26,21.426001,-39.879002,854.458984,0.537,3.435,157.942,21.198,32.0,35.134,100,21.198
2026-06-09_21:44:27,21.415001,-39.904999,854.564026,0.537,3.672,169.023,21.399,31.0,36.044,100,21.399
2026-06-09_21:44:28,21.405001,-39.909,854.297974,0.536,3.91,180.108,21.612,31.0,37.646,100,21.612
2026-06-09_21:44:29,21.396999,-39.918999,854.153015,0.536,4.147,191.196,21.826,31.0,38.569,100,21.826
2026-06-09_21:44:30,21.391001,-39.93,854.169983,0.536,4.384,202.287,22.054,31.0,39.556,100,22.054
2026-06-09_21:44:31,21.382999,-39.938999,854.041992,0.536,4.622,213.379,22.277,31.0,40.561,100,22.277
2026-06-09_21:44:32,21.378,-39.936001,853.788025,0.535,4.859,224.473,22.509,32.0,41.411,100,22.509
2026-06-09_21:44:33,21.375999,-39.945,853.877991,0.535,5.096,235.568,22.742,32.0,42.241,100,22.742
2026-06-09_21:44:34,21.374001,-39.953999,853.989014,0.535,5.333,246.664,22.971,32.0,43.006,100,22.971
2026-06-09_21:44:35,21.371,-39.953999,853.875,0.535,5.57,257.762,23.211,32.0,43.797,100,23.211
2026-06-09_21:44:36,21.368999,-39.958,853.867981,0.535,5.808,268.861,23.462,32.0,44.607,100,23.462
2026-06-09_21:44:37,21.371,-39.953999,853.820007,0.535,6.045,279.96,23.714,31.0,45.142,100,23.714
2026-06-09_21:44:38,21.370001,-39.957001,853.953979,0.535,6.282,291.059,23.952,31.0,46.033,100,23.952
2026-06-09_21:44:39,21.370001,-39.963001,854.059021,0.535,6.519,302.159,24.2,31.0,46.92,100,24.2
2026-06-09_21:44:40,21.372,-39.964001,854.140015,0.535,6.756,313.26,24.446,31.0,47.661,100,24.446
2026-06-09_21:44:41,21.375,-39.967999,854.276001,0.535,6.994,324.361,24.661,31.0,48.391,100,24.661
2026-06-09_21:44:42,21.375,-39.965,854.362,0.535,7.231,335.464,24.905,32.0,49.163,100,24.905
2026-06-09_21:44:43,21.375,-39.963001,854.208984,0.535,7.468,346.566,25.151,32.0,49.788,100,25.151
2026-06-09_21:44:44,21.379,-39.965,854.445007,0.535,7.706,357.668,25.41,32.0,50.484,100,25.41
2026-06-09_21:44:45,21.382,-39.969002,854.633972,0.535,7.943,368.771,25.675,32.0,51.28,100,25.675
2026-06-09_21:44:46,21.382999,-39.974998,854.778015,0.535,8.18,379.874,25.931,32.0,51.972,100,25.931
2026-06-09_21:44:47,21.384001,-39.972,854.786011,0.535,8.418,390.978,26.152,32.0,52.662,100,26.152
2026-06-09_21:44:48,21.386999,-39.979,855.044983,0.535,8.655,402.082,26.405,32.0,53.345,100,26.405
2026-06-09_21:44:49,21.391001,-39.976002,855.135986,0.535,8.893,413.187,26.66,32.0,53.925,100,26.66
2026-06-09_21:44:50,21.393,-39.967999,855.012024,0.535,9.13,424.291,26.943,32.0,54.498,100,26.943
2026-06-09_21:44:51,21.393999,-39.970001,855.106995,0.535,9.368,435.395,27.167,32.0,55.175,100,27.167
2026-06-09_21:44:52,21.399,-39.976002,855.435974,0.535,9.605,446.498,27.41,32.0,55.888,100,27.41
2026-06-09_21:44:53,21.400999,-39.977001,855.56897,0.535,9.843,457.604,27.675,32.0,56.377,100,27.675
2026-06-09_21:44:54,21.402,-39.976002,855.596008,0.535,10.081,468.709,27.918,32.0,57.034,100,27.918
2026-06-09_21:44:55,21.405001,-39.972,855.622009,0.535,10.318,479.814,28.17,32.0,57.579,100,28.17
2026-06-09_21:44:56,21.408001,-39.98,855.916016,0.536,10.556,490.918,28.406,32.0,58.186,100,28.406
2026-06-09_21:44:57,21.413,-39.977001,856.002991,0.536,10.794,502.024,28.657,32.0,58.668,100,28.657
2026-06-09_21:44:58,21.416,-39.973999,856.049988,0.536,11.032,513.127,28.906,32.0,59.104,100,28.906
2026-06-09_21:44:59,21.417,-39.98,856.309998,0.536,11.269,524.231,29.114,32.0,59.807,100,29.114
2026-06-09_21:45:00,21.417,-39.987,856.424988,0.536,11.507,535.337,29.405,32.0,60.273,100,29.405
2026-06-09_21:45:01,21.417,-39.981998,856.294983,0.536,11.745,546.446,29.701,32.0,60.965,100,29.701
2026-06-09_21:45:02,21.424,-39.978001,856.510986,0.536,11.983,557.551,29.969,32.0,61.48,100,29.969
2026-06-09_21:45:03,21.42,-39.979,856.369019,0.536,12.221,568.658,30.218,32.0,61.934,100,30.218
2026-06-09_21:45:04,21.421,-39.986,856.567993,0.536,12.459,579.763,30.455,32.0,62.442,100,30.455
2026-06-09_21:45:05,21.424,-39.974998,856.463013,0.536,12.697,590.871,30.703,32.0,62.779,100,30.703
2026-06-09_21:45:06,21.424,-39.980999,856.547974,0.536,12.935,601.975,30.945,32.0,63.253,100,30.945
2026-06-09_21:45:07,21.424,-39.981998,856.64502,0.536,13.173,613.081,31.156,31.0,63.815,100,31.156
2026-06-09_21:45:08,21.426001,-39.987999,856.789001,0.536,13.41,624.188,31.388,31.0,64.186,100,31.388
2026-06-09_21:45:09,21.426001,-39.984001,856.718018,0.536,13.648,635.296,31.644,31.0,64.741,100,31.644
2026-06-09_21:45:11,21.424999,-39.986,856.703979,0.536,13.886,646.402,31.915,31.0,65.048,100,31.915
2026-06-09_21:45:12,21.424,-39.980999,856.624023,0.536,14.124,657.51,32.162,31.0,65.596,100,32.162
2026-06-09_21:45:13,21.424,-39.98,856.577026,0.536,14.362,668.617,32.347,30.0,66.23,100,32.347
2026-06-09_21:45:14,21.423,-39.987,856.617981,0.536,14.6,679.723,32.575,30.0,66.642,100,32.575
2026-06-09_21:45:15,21.421,-39.980999,856.469971,0.536,14.838,690.831,32.834,30.0,67.053,100,32.834
2026-06-09_21:45:16,21.421,-39.990002,856.646973,0.536,15.076,701.937,33.072,30.0,67.461,100,33.072
2026-06-09_21:45:17,21.42,-39.978001,856.359009,0.536,15.314,713.046,33.356,30.0,68.003,100,33.356
2026-06-09_21:45:18,21.417999,-39.973999,856.189026,0.536,15.552,724.151,33.607,31.0,68.407,100,33.607
2026-06-09_21:45:19,21.416,-39.983002,856.294983,0.536,15.79,735.255,33.886,31.0,68.81,100,33.886
2026-06-09_21:45:20,21.413,-39.987999,856.281982,0.535,16.266,757.47,34.152,31.0,69.01,100,34.152
2026-06-09_21:45:21,21.414,-39.986,856.215027,0.535,16.503,768.577,34.442,31.0,69.077,100,34.442
2026-06-09_21:45:22,21.406,-39.986,855.989014,0.535,16.741,779.685,34.704,31.0,69.476,100,34.704
2026-06-09_21:45:23,21.406,-39.987,855.96698,0.535,16.741,779.685,34.955,32.0,69.873,100,34.955
2026-06-09_21:45:24,21.402,-39.987999,855.888977,0.535,17.217,801.901,35.185,32.0,70.083,100,35.185
2026-06-09_21:45:25,21.400999,-39.974998,855.388977,0.535,17.454,813.005,35.386,32.0,70.467,100,35.386
2026-06-09_21:45:26,21.396999,-39.990002,855.677002,0.535,17.692,824.114,35.641,27.0,70.926,100,35.641
2026-06-09_21:45:27,21.392,-39.997002,855.697998,0.535,17.93,835.224,35.872,27.0,71.155,100,35.872
2026-06-09_21:45:28,21.386999,-39.977001,855.099976,0.535,18.167,846.329,36.014,27.0,71.611,100,36.014
2026-06-09_21:45:29,21.382999,-39.977001,854.833008,0.535,18.405,857.434,36.197,27.0,71.838,100,36.197
2026-06-09_21:45:30,21.379,-39.983002,854.822021,0.535,18.642,868.539,36.446,27.0,72.215,100,36.446
2026-06-09_21:45:31,21.375,-39.976002,854.497986,0.535,18.879,879.645,36.669,28.0,72.441,100,36.669
2026-06-09_21:45:32,21.365999,-39.983002,854.28302,0.534,19.117,890.753,36.889,28.0,72.891,100,36.889
2026-06-09_21:45:33,21.361,-39.979,854.021973,0.534,19.354,901.859,37.136,28.0,73.115,100,37.136
2026-06-09_21:45:34,21.357,-39.979,853.85199,0.534,19.591,912.964,37.354,28.0,73.339,100,37.354
2026-06-09_21:45:35,21.356001,-39.983002,853.888,0.534,19.828,924.071,37.578,28.0,73.562,100,37.578
2026-06-09_21:45:36,21.346001,-39.987,853.742981,0.534,20.066,935.179,37.8,28.0,74.007,100,37.8
2026-06-09_21:45:37,21.343,-39.981998,853.416992,0.534,20.303,946.285,37.968,29.0,74.155,100,37.968
2026-06-09_21:45:38,21.337999,-39.987,853.252014,0.534,20.54,957.393,38.157,29.0,74.376,100,38.157
2026-06-09_21:45:39,21.329,-39.987,853.02301,0.533,20.777,968.5,38.376,29.0,74.597,100,38.376
2026-06-09_21:45:40,21.326,-39.98,852.627991,0.533,21.013,979.605,38.562,29.0,74.818,100,38.562
2026-06-09_21:45:41,21.323,-39.98,852.51001,0.533,21.25,990.71,38.817,29.0,75.045,100,38.817
2026-06-09_21:45:42,21.315001,-39.98,852.210999,0.533,21.487,1001.816,39.064,30.0,75.308,100,39.064
2026-06-09_21:45:43,21.311001,-39.98,852.041016,0.533,21.724,1012.924,39.327,30.0,75.571,100,39.327
2026-06-09_21:45:44,21.302999,-39.972,851.544006,0.533,21.96,1024.03,39.481,30.0,75.833,100,39.481
2026-06-09_21:45:45,21.295,-39.981998,851.546997,0.533,22.197,1035.136,39.746,30.0,76.079,100,39.746
2026-06-09_21:45:46,21.291,-39.980999,851.327026,0.533,22.433,1046.242,39.951,30.0,76.224,100,39.951
2026-06-09_21:45:47,21.285,-39.992001,851.244019,0.532,22.67,1057.352,40.153,30.0,76.441,100,40.153
2026-06-09_21:45:48,21.278,-39.987999,850.887024,0.532,22.906,1068.461,40.343,30.0,76.658,100,40.343
2026-06-09_21:45:49,21.273001,-39.980999,850.517029,0.532,23.142,1079.567,40.595,31.0,76.874,100,40.595
2026-06-09_21:45:50,21.264,-39.985001,850.252014,0.532,23.379,1090.674,40.832,31.0,77.108,100,40.832
2026-06-09_21:45:51,21.259001,-39.986,850.072998,0.532,23.615,1101.783,40.999,31.0,77.367,100,40.999
2026-06-09_21:45:52,21.254,-39.981998,849.789001,0.532,23.851,1112.891,41.176,31.0,77.624,100,41.176
2026-06-09_21:45:53,21.247,-39.987,849.617004,0.531,24.087,1124.0,41.414,31.0,77.882,100,41.414
2026-06-09_21:45:54,21.243,-39.987,849.466003,0.531,24.323,1135.107,41.719,31.0,78.138,100,41.719
2026-06-09_21:45:55,21.235001,-39.986,849.146973,0.531,24.559,1146.214,42.058,31.0,78.138,100,42.058
2026-06-09_21:45:56,21.229,-39.985001,848.851013,0.531,24.794,1157.322,42.395,31.0,78.309,100,42.395
2026-06-09_21:45:57,21.223,-39.986,848.604004,0.531,25.03,1168.43,42.632,31.0,78.565,100,42.632
2026-06-09_21:45:58,21.215,-39.984001,848.299988,0.531,25.266,1179.538,42.925,31.0,78.82,100,42.925
2026-06-09_21:45:59,21.214001,-39.988998,848.325012,0.53,25.502,1190.646,43.198,31.0,78.82,100,43.198
2026-06-09_21:46:00,21.208,-39.988998,848.086975,0.53,25.737,1201.753,43.471,32.0,79.093,100,43.471
2026-06-09_21:46:01,21.202,-39.983002,847.763,0.53,25.973,1212.86,43.761,32.0,79.411,100,43.761
2026-06-09_21:46:02,21.194,-39.985001,847.473022,0.53,26.208,1223.967,44.035,32.0,79.728,100,44.035
2026-06-09_21:46:03,21.191,-39.987,847.322021,0.53,26.443,1235.075,44.312,32.0,79.728,100,44.312
2026-06-09_21:46:04,21.181999,-39.987,847.013,0.53,26.679,1246.182,44.567,32.0,79.728,100,44.567
2026-06-09_21:46:05,21.174999,-39.992001,846.877014,0.53,26.914,1257.291,44.804,32.0,80.035,100,44.804
