----------------(炬为负载测试仪)ATORCH LOAD_Tester Software----------------
------------------CL24/BW150/BW600/DL150-------------------
----------------(炬为负载测试仪)ATORCH LOAD_Tester Software----------------
(时间)DATE,(电压)VOLTAGE(V),(电流)CURRENT(A),(功率)POWER(W),(电阻)RESISTANCE(Ω),(电量)E_QUANTITY(Wh),(容量)E_CAPACITY(mAh),(探头温度)NTC_TEMP(℃),(CPU温度)CPU_TEMP(℃),(MOS管子温度)MOS_TEMP(℃),(风扇转速)FAN_SPEED(RPM),(探头温度)NTC_TEMP(℃)_CORRECTED
2026-06-08_12:55:29,25.216,-1.922,48.479,9999.991,0.0,0.5,20.221,30.0,19.88,30,20.221
2026-06-08_12:55:30,24.636999,-8.458,208.399002,3.05,0.053,2.627,20.226,30.0,19.973,30,20.226
2026-06-08_12:55:31,24.452999,-9.032,220.888,2.739,0.113,5.068,20.24,30.0,19.973,30,20.24
2026-06-08_12:55:32,24.336,-9.242,225.093994,2.675,0.175,7.62,20.25,30.0,19.973,30,20.25
2026-06-08_12:55:33,24.249001,-9.477,229.839996,2.584,0.238,10.218,20.266,30.0,20.07,30,20.266
2026-06-08_12:55:34,24.181999,-9.564,231.382996,2.532,0.302,12.863,20.28,30.0,20.234,30,20.28
2026-06-08_12:55:35,24.129,-9.658,233.134995,2.498,0.367,15.534,20.288,30.0,20.332,30,20.288
2026-06-08_12:55:36,24.086,-9.73,234.468994,2.483,0.432,18.229,20.296,30.0,20.623,30,20.296
2026-06-08_12:55:37,24.049,-9.791,235.544998,2.459,0.497,20.941,20.304,29.0,21.104,30,20.304
2026-06-08_12:55:38,24.025,-9.835,236.322006,2.442,0.562,23.668,20.317,29.0,21.301,30,20.317
2026-06-08_12:55:39,23.997,-9.867,236.802994,2.436,0.628,26.405,20.335,29.0,21.657,30,20.335
2026-06-08_12:55:40,23.974001,-9.896,237.257004,2.423,0.694,29.15,20.354,29.0,22.041,30,20.354
2026-06-08_12:55:41,23.948,-9.915,237.459,2.415,0.76,31.9,20.393,29.0,22.331,30,20.393
2026-06-08_12:55:42,23.934,-9.93,237.684998,2.412,0.826,34.656,20.41,29.0,22.586,30,20.41
2026-06-08_12:55:43,23.917999,-9.944,237.873993,2.406,0.892,37.416,20.424,29.0,22.963,30,20.424
2026-06-08_12:55:44,23.903,-9.95,237.865005,2.402,0.958,40.178,20.438,29.0,23.227,30,20.438
2026-06-08_12:55:45,23.889,-9.957,237.882004,2.4,1.024,42.944,20.464,29.0,23.622,100,20.464
2026-06-08_12:55:46,23.877001,-9.956,237.778,2.399,1.09,45.71,20.486,29.0,23.915,100,20.486
2026-06-08_12:55:47,23.867001,-9.962,237.819,2.396,1.156,48.477,20.5,30.0,24.177,100,20.5
2026-06-08_12:55:48,23.854,-9.963,237.727005,2.395,1.222,51.245,20.515,30.0,24.664,100,20.515
2026-06-08_12:55:49,23.848,-9.97,237.787994,2.392,1.288,54.014,20.543,30.0,25.017,100,20.543
2026-06-08_12:55:50,23.837999,-9.974,237.789993,2.39,1.354,56.784,20.569,30.0,25.316,100,20.569
2026-06-08_12:55:51,23.830999,-9.967,237.548996,2.389,1.42,59.555,20.592,30.0,25.514,100,20.592
2026-06-08_12:55:52,23.826,-9.968,237.524002,2.391,1.486,62.324,20.623,30.0,25.873,100,20.623
2026-06-08_12:55:53,23.816999,-9.977,237.649002,2.388,1.552,65.094,20.635,30.0,26.168,100,20.635
2026-06-08_12:55:54,23.813,-9.978,237.628998,2.387,1.618,67.865,20.654,30.0,26.463,100,20.654
2026-06-08_12:55:55,23.809999,-9.983,237.716995,2.385,1.684,70.638,20.67,30.0,26.723,100,20.67
2026-06-08_12:55:56,23.802999,-9.98,237.567001,2.386,1.75,73.41,20.68,30.0,26.723,100,20.68
2026-06-08_12:55:57,23.797001,-9.98,237.548004,2.385,1.816,76.182,20.704,31.0,27.114,100,20.704
2026-06-08_12:55:58,23.792,-9.977,237.431,2.385,1.882,78.954,20.734,31.0,27.316,100,20.734
2026-06-08_12:55:59,23.789,-9.978,237.386993,2.384,1.948,81.726,20.757,31.0,27.516,100,20.757
2026-06-08_12:56:00,23.785,-9.985,237.503998,2.383,2.014,84.499,20.784,31.0,27.879,100,20.784
