----------------(炬为负载测试仪)ATORCH LOAD_Tester Software----------------
------------------CL24/BW150/BW600/DL150-------------------
----------------(炬为负载测试仪)ATORCH LOAD_Tester Software----------------
(时间)DATE,(电压)VOLTAGE(V),(电流)CURRENT(A),(功率)POWER(W),(电阻)RESISTANCE(Ω),(电量)E_QUANTITY(Wh),(容量)E_CAPACITY(mAh),(探头温度)NTC_TEMP(℃),(CPU温度)CPU_TEMP(℃),(MOS管子温度)MOS_TEMP(℃),(风扇转速)FAN_SPEED(RPM),(探头温度)NTC_TEMP(℃)_CORRECTED
2026-06-08_13:25:16,25.177999,0.0,0.0,9999.991,0.0,0.5,20.976,29.0,26.267,30,20.976
2026-06-08_13:25:17,23.829,-20.455999,489.591003,1.377,0.0,0.5,20.976,29.0,26.069,30,20.976
2026-06-08_13:25:18,23.306999,-25.988001,606.95697,0.914,0.153,6.975,20.976,29.0,26.168,100,20.976
2026-06-08_13:25:19,23.113001,-27.433001,634.080017,0.865,0.324,14.363,20.983,30.0,26.168,100,20.983
2026-06-08_13:25:20,22.969999,-28.347,651.143982,0.817,0.502,22.093,21.004,30.0,26.267,100,21.004
2026-06-08_13:25:21,22.875999,-28.962,662.554993,0.792,0.685,30.046,21.039,30.0,26.463,100,21.039
2026-06-08_13:25:22,22.809,-29.240999,666.987976,0.785,0.869,38.124,21.094,30.0,26.82,100,21.094
2026-06-08_13:25:23,22.756001,-29.431999,669.767029,0.776,1.055,46.268,21.194,30.0,27.416,100,21.194
2026-06-08_13:25:24,22.716999,-29.552,671.497986,0.77,1.241,54.463,21.305,31.0,27.977,100,21.305
2026-06-08_13:25:25,22.687,-29.66,672.90802,0.765,1.428,62.681,21.429,31.0,28.865,100,21.429
2026-06-08_13:25:26,22.659,-29.709999,673.35498,0.763,1.615,70.922,21.548,31.0,29.446,100,21.548
2026-06-08_13:25:27,22.638,-29.771,674.072998,0.761,1.802,79.183,21.655,31.0,30.228,100,21.655
2026-06-08_13:25:28,22.620001,-29.812,674.405029,0.759,1.989,87.457,21.76,31.0,30.94,100,21.76
2026-06-08_13:25:29,22.605,-29.841,674.630981,0.758,2.176,95.742,21.896,32.0,31.726,100,21.896
2026-06-08_13:25:30,22.594,-29.871,674.903992,0.757,2.364,104.036,22.05,32.0,32.512,100,22.05
2026-06-08_13:25:31,22.584,-29.893,675.132996,0.755,2.551,112.335,22.204,32.0,33.31,100,22.204
2026-06-08_13:25:32,22.577,-29.903,675.130981,0.755,2.739,120.639,22.348,32.0,34.02,100,22.348
2026-06-08_13:25:33,22.566,-29.908001,674.921997,0.755,2.926,128.945,22.523,32.0,35.17,100,22.523
2026-06-08_13:25:34,22.559,-29.93,675.221008,0.754,3.114,137.255,22.689,32.0,35.972,100,22.689
2026-06-08_13:25:35,22.552999,-29.936001,675.171021,0.754,3.301,145.57,22.865,32.0,36.638,100,22.865
2026-06-08_13:25:36,22.549,-29.934,675.03302,0.753,3.489,153.886,23.032,32.0,37.042,100,23.032
2026-06-08_13:25:37,22.545,-29.940001,675.059021,0.753,3.676,162.202,23.222,32.0,37.795,100,23.222
2026-06-08_13:25:38,22.542,-29.947001,675.085022,0.753,3.864,170.52,23.395,32.0,38.46,100,23.395
2026-06-08_13:25:39,22.537001,-29.955,675.18103,0.752,4.051,178.841,23.587,32.0,39.203,100,23.587
2026-06-08_13:25:40,22.534,-29.961,675.177002,0.752,4.239,187.162,23.773,32.0,39.868,100,23.773
2026-06-08_13:25:41,22.531,-29.964001,675.163025,0.752,4.427,195.484,23.954,32.0,40.864,100,23.954
2026-06-08_13:25:42,22.530001,-29.964001,675.114014,0.752,4.614,203.807,24.129,32.0,41.45,100,24.129
2026-06-08_13:25:43,22.525,-29.964001,674.999023,0.752,4.802,212.131,24.361,32.0,42.119,100,24.361
2026-06-08_13:25:44,22.524,-29.971001,675.085999,0.752,4.989,220.455,24.596,32.0,42.726,100,24.596
2026-06-08_13:25:45,22.521999,-29.974001,675.122009,0.751,5.177,228.78,24.792,32.0,43.285,100,24.792
2026-06-08_13:25:46,22.514999,-29.978001,674.981995,0.751,5.364,237.107,24.984,32.0,43.954,100,24.984
2026-06-08_13:25:47,22.511,-29.969999,674.666992,0.751,5.552,245.433,25.152,32.0,44.444,100,25.152
2026-06-08_13:25:48,22.51,-29.971001,674.682983,0.751,5.739,253.757,25.307,32.0,45.142,100,25.307
2026-06-08_13:25:49,22.503,-29.969,674.434021,0.751,5.926,262.083,25.469,31.0,45.652,100,25.469
2026-06-08_13:25:50,22.500999,-29.969999,674.382019,0.751,6.114,270.408,25.659,31.0,46.256,100,25.659
2026-06-08_13:25:51,22.497,-29.969999,674.299011,0.751,6.301,278.733,25.864,31.0,46.92,100,25.864
2026-06-08_13:25:52,22.493,-29.976999,674.377014,0.75,6.488,287.059,26.058,31.0,47.401,100,26.058
2026-06-08_13:25:53,22.493,-29.974001,674.242004,0.75,6.676,295.386,26.241,31.0,47.92,100,26.241
2026-06-08_13:25:54,22.49,-29.979,674.247009,0.75,6.863,303.712,26.427,31.0,48.391,100,26.427
2026-06-08_13:25:55,22.485001,-29.978001,674.059021,0.75,7.05,312.04,26.58,31.0,48.899,100,26.58
2026-06-08_13:25:56,22.482,-29.979,674.007019,0.75,7.237,320.367,26.762,31.0,49.431,100,26.762
2026-06-08_13:25:57,22.478001,-29.976,673.820984,0.75,7.425,328.694,26.946,31.0,49.788,100,26.946
2026-06-08_13:25:58,22.475,-29.975,673.721985,0.75,7.612,337.021,27.11,31.0,50.342,100,27.11
2026-06-08_13:25:59,22.466999,-29.981001,673.666992,0.749,7.799,345.347,27.28,31.0,50.86,100,27.28
2026-06-08_13:26:00,22.466,-29.976,673.455994,0.749,7.986,353.675,27.472,31.0,51.14,100,27.472
2026-06-08_13:26:01,22.462,-29.975,673.317017,0.749,8.173,362.002,27.663,31.0,51.834,100,27.663
2026-06-08_13:26:02,22.455,-29.976999,673.15802,0.749,8.36,370.329,27.827,31.0,52.218,100,27.827
2026-06-08_13:26:03,22.452,-29.982,673.166016,0.749,8.547,378.656,28.006,31.0,52.662,100,28.006
2026-06-08_13:26:04,22.450001,-29.982,673.109985,0.749,8.734,386.985,28.194,31.0,53.248,100,28.194
2026-06-08_13:26:05,22.444,-29.976,672.903992,0.749,8.921,395.313,28.534,31.0,53.491,100,28.534
2026-06-08_13:26:06,22.438,-29.981001,672.737976,0.749,9.108,403.64,28.814,31.0,54.068,100,28.814
2026-06-08_13:26:07,22.431999,-29.985001,672.679993,0.748,9.295,411.967,28.969,31.0,54.355,100,28.969
2026-06-08_13:26:08,22.427,-29.981001,672.437012,0.748,9.482,420.297,29.096,31.0,54.735,100,29.096
2026-06-08_13:26:09,22.422001,-29.98,672.284973,0.748,9.668,428.625,29.234,32.0,55.175,100,29.234
2026-06-08_13:26:10,22.416,-29.98,672.098999,0.748,10.042,445.281,29.371,32.0,55.481,100,29.371
