----------------(炬为负载测试仪)ATORCH LOAD_Tester Software----------------
------------------CL24/BW150/BW600/DL150-------------------
----------------(炬为负载测试仪)ATORCH LOAD_Tester Software----------------
(时间)DATE,(电压)VOLTAGE(V),(电流)CURRENT(A),(功率)POWER(W),(电阻)RESISTANCE(Ω),(电量)E_QUANTITY(Wh),(容量)E_CAPACITY(mAh),(探头温度)NTC_TEMP(℃),(CPU温度)CPU_TEMP(℃),(MOS管子温度)MOS_TEMP(℃),(风扇转速)FAN_SPEED(RPM),(探头温度)NTC_TEMP(℃)_CORRECTED
2026-06-08_11:25:11,25.181,-4.058,102.219002,9999.991,0.0,0.5,18.006,29.0,34.239,30,18.006
2026-06-08_11:25:12,22.879,-33.061001,765.148987,0.904,0.2,9.128,18.007,29.0,34.239,100,18.007
2026-06-08_11:25:13,22.132,-43.095001,959.021973,0.531,0.459,20.772,18.026,29.0,34.13,100,18.026
2026-06-08_11:25:14,21.839001,-46.518002,1017.948975,0.485,0.74,33.618,18.068,29.0,34.239,100,18.068
2026-06-08_11:25:15,21.705999,-47.789001,1038.011963,0.459,1.027,46.838,18.161,29.0,34.348,100,18.161
2026-06-08_11:25:16,21.622,-48.620998,1051.279053,0.446,1.319,60.298,18.306,29.0,34.672,100,18.306
2026-06-08_11:25:17,21.558001,-49.077,1058.012939,0.443,1.612,73.906,18.497,29.0,35.275,100,18.497
2026-06-08_11:25:18,21.514,-49.325001,1061.187012,0.437,1.907,87.596,18.748,29.0,35.972,100,18.748
2026-06-08_11:25:19,21.481001,-49.498001,1063.269043,0.434,2.202,101.332,19.057,29.0,37.383,100,19.057
2026-06-08_11:25:20,21.457001,-49.589001,1064.199951,0.433,2.497,115.103,19.42,29.0,37.795,100,19.42
2026-06-08_11:25:21,21.440001,-49.674999,1065.197021,0.432,2.793,128.901,19.822,29.0,39.045,100,19.822
2026-06-08_11:25:22,21.431,-49.743,1066.130005,0.431,3.089,142.715,20.232,29.0,40.254,100,20.232
2026-06-08_11:25:23,21.417999,-49.783001,1066.282959,0.43,3.385,156.542,20.662,29.0,41.372,100,20.662
2026-06-08_11:25:24,21.41,-49.817001,1066.72998,0.43,3.682,170.38,21.092,29.0,42.524,100,21.092
2026-06-08_11:25:25,21.403999,-49.853001,1067.20105,0.429,3.978,184.229,21.536,29.0,43.68,100,21.536
2026-06-08_11:25:26,21.400999,-49.869999,1067.244019,0.429,4.275,198.083,22.002,30.0,44.729,100,22.002
2026-06-08_11:25:27,21.395,-49.889999,1067.42395,0.429,4.571,211.94,22.378,30.0,45.947,100,22.378
2026-06-08_11:25:28,21.392,-49.907001,1067.688965,0.429,4.868,225.802,22.851,30.0,47.704,100,22.851
2026-06-08_11:25:29,21.389,-49.914001,1067.640015,0.429,5.164,239.666,23.356,30.0,48.688,100,23.356
2026-06-08_11:25:30,21.384001,-49.922001,1067.56604,0.428,5.461,253.533,23.871,30.0,49.832,100,23.871
2026-06-08_11:25:31,21.381001,-49.93,1067.588989,0.428,5.757,267.402,24.374,30.0,50.766,100,24.374
2026-06-08_11:25:32,21.378,-49.932999,1067.483032,0.428,6.054,281.272,24.901,30.0,51.834,100,24.901
2026-06-08_11:25:33,21.375,-49.929001,1067.272949,0.428,6.35,295.143,25.43,30.0,52.218,100,25.43
2026-06-08_11:25:34,21.372,-49.938999,1067.311035,0.428,6.647,309.016,25.956,30.0,53.345,100,25.956
2026-06-08_11:25:35,21.365,-49.944,1067.090942,0.428,6.943,322.89,26.361,30.0,54.355,100,26.361
2026-06-08_11:25:36,21.364,-49.945999,1067.000977,0.428,7.24,336.765,26.883,31.0,55.787,100,26.883
2026-06-08_11:25:37,21.358999,-49.959,1067.125,0.428,7.536,350.641,27.394,31.0,56.873,100,27.394
2026-06-08_11:25:38,21.358,-49.958,1067.036987,0.428,7.832,364.519,27.922,31.0,57.727,100,27.922
2026-06-08_11:25:39,21.358999,-49.962002,1067.152954,0.427,8.129,378.396,28.391,31.0,58.668,100,28.391
2026-06-08_11:25:40,21.358999,-49.955002,1067.005981,0.428,8.425,392.272,28.914,31.0,59.456,100,28.914
2026-06-08_11:25:41,21.356001,-49.960999,1066.993042,0.427,8.722,406.15,29.404,30.0,60.446,100,29.404
2026-06-08_11:25:42,21.356001,-49.966,1067.057983,0.427,9.018,420.028,29.894,30.0,60.965,100,29.894
2026-06-08_11:25:43,21.354,-49.959999,1067.046021,0.427,9.314,433.908,30.406,30.0,61.764,100,30.406
2026-06-08_11:25:44,21.351999,-49.951,1066.583008,0.427,9.611,447.782,30.9,30.0,63.128,100,30.9
2026-06-08_11:25:45,21.35,-49.962002,1066.859009,0.427,9.907,461.662,31.392,30.0,64.001,100,31.392
2026-06-08_11:25:46,21.349001,-49.965,1066.784058,0.427,10.203,475.542,31.8,31.0,64.68,100,31.8
2026-06-08_11:25:47,21.35,-49.960999,1066.687012,0.427,10.5,489.42,32.31,31.0,65.414,100,32.31
2026-06-08_11:25:48,21.344999,-49.957001,1066.479004,0.427,10.796,503.298,32.797,31.0,65.96,100,32.797
2026-06-08_11:25:49,21.344999,-49.967999,1066.567017,0.427,11.092,517.179,33.303,31.0,66.916,100,33.303
2026-06-08_11:25:50,21.343,-49.966,1066.447021,0.427,11.388,531.06,33.813,31.0,67.733,100,33.813
2026-06-08_11:25:51,21.337999,-49.972,1066.311035,0.427,11.685,544.94,34.308,30.0,68.474,100,34.308
2026-06-08_11:25:52,21.334,-49.970001,1066.105957,0.427,11.981,558.821,34.831,30.0,69.077,100,34.831
2026-06-08_11:25:53,21.329,-49.970001,1065.855957,0.427,12.277,572.703,35.299,30.0,69.675,100,35.299
2026-06-08_11:25:54,21.327999,-49.963001,1065.723999,0.427,12.573,586.582,35.757,30.0,70.467,100,35.757
2026-06-08_11:25:55,21.323,-49.980999,1065.81604,0.427,12.869,600.467,36.177,30.0,71.155,100,36.177
2026-06-08_11:25:56,21.316,-49.979,1065.322021,0.426,13.165,614.353,36.591,31.0,71.838,100,36.591
2026-06-08_11:25:57,21.313999,-49.977001,1065.26001,0.426,13.461,628.236,37.023,31.0,72.441,100,37.023
2026-06-08_11:25:58,21.309,-49.978001,1064.975952,0.426,13.757,642.117,37.464,31.0,73.115,100,37.464
2026-06-08_11:25:59,21.301001,-49.974998,1064.54895,0.426,14.053,655.999,37.922,27.0,73.785,100,37.922
2026-06-08_11:26:00,21.295,-49.979,1064.317017,0.426,14.348,669.883,38.439,27.0,74.155,100,38.439
2026-06-08_11:26:01,21.285,-49.978001,1063.796021,0.426,14.644,683.766,38.943,27.0,74.818,100,38.943
2026-06-08_11:26:02,21.277,-49.981998,1063.465942,0.426,14.939,697.651,39.411,27.0,75.571,100,39.411
2026-06-08_11:26:03,21.268999,-49.98,1063.015015,0.426,15.235,711.536,39.708,28.0,76.079,100,39.708
2026-06-08_11:26:04,21.263,-49.984001,1062.833984,0.425,15.53,725.419,40.089,28.0,76.658,100,40.089
2026-06-08_11:26:05,21.254999,-49.990002,1062.561035,0.425,15.825,739.306,40.566,28.0,77.108,100,40.566
2026-06-08_11:26:06,21.245001,-49.983002,1061.880005,0.425,16.12,753.191,40.958,28.0,77.624,100,40.958
2026-06-08_11:26:07,21.233,-49.985001,1061.334961,0.425,16.415,767.076,41.434,28.0,78.138,100,41.434
2026-06-08_11:26:08,21.223,-49.986,1060.854004,0.425,16.71,780.96,41.845,29.0,78.565,100,41.845
2026-06-08_11:26:09,21.215,-49.987999,1060.536987,0.424,17.004,794.843,42.266,29.0,79.093,100,42.266
2026-06-08_11:26:10,21.205,-49.987999,1060.011963,0.424,17.299,808.729,42.712,29.0,79.728,100,42.712
